Lunar month,Sex,No. of cases,Order,Body length (cm),Body weight (g),Greater wing bone of sphenoid,Greater wing bone of sphenoid width(mm),Lesser wing bone of sphenoid length (mm),Lesser wing bone of sphenoid width (mm),Sphenoid bone length (mm),Sphenoid bone width (mm),Petrous part length (mm),Petrous part width (mm),Basal part of Occipatal bone length (mm),Basal part of Occipital bone width (mm),"Lateral part, of occipital bone length (mm)","Lateral part, of occipital bone width (mm)"
3,M,1,1,9,12,NA,NA,NA,NA,NA,NA,NA,NA,2.5,1.5,2.5,1.2
3,F,2,2,10,40,5,1.5,-,-,-,-,-,-,3,2,3,1.5
3.5,M,1,3,12,60,5,2.2,NA,NA,NA,NA,NA,NA,3.9,2.9,3.9,1.8
3.5,F,2,4,12,100,4.5,2.1,-,-,-,-,-,-,4.5,3.1,4.6,2.2
3.5,F,3,5,13,60,6,2.5,-,-,-,-,-,-,3.5,1.8,3.5,1.5
4,M,1,6,17,110.8,9,4.5,NA,NA,NA,NA,NA,NA,5,3,5,2.5
4,M,2,7,16,100,8,5,3,3,NA,NA,NA,NA,6,4,5.5,3
4,M,3,8,17,100,13,6.5,NA,NA,NA,NA,9,5,5,4,6.3,3
4,M,4,9,17,180,13.2,5,4,4,3,5,10.6,6,6,5,6.5,3
4,M,5,10,17,190,12.7,7,6,5,3,5,12,5,6.2,4,6.9,4
4,F,6,11,17,195,9.5,6.5,-,-,-,-,10,5,5,4,5.5,2.5
4,F,7,12,17,100,9,5.5,-,-,-,-,-,-,5.3,4,5.3,3
4,F,8,13,17,110,8.5,4.9,5,4,2.5,4,-,-,4.5,2.2,5.9,2.2
4,F,9,14,20,140,10.2,6.5,5,4,2,4,11,5.5,6.4,4.2,6.4,3
4.5,M,1,15,22,185,13.5,8,5,5,3,4.5,10.5,5.5,7,5,7,4.5
4.5,M,2,16,22,180,13,6,5,4,3,5.5,12,5,6.5,5,8,4.5
4.5,M,3,17,22,250,13.5,7.3,6,5,3,6,12.5,6,7.3,4.2,7.5,4.5
4.5,M,4,18,22,210,13.5,6,5.5,4.5,3.5,5.5,NA,NA,7.5,5.5,8.7,4.2
4.5,M,5,19,22,210,14.3,8,6,5,3,6,12,6,6.3,5.4,8,4
4.5,M,6,20,22,250,13,7.5,7,5,4,6,12,6,7.1,5.5,8,4
4.5,M,7,21,23,250,15,7,6,4,3,6,10,6,7,4,8,4
4.5,F,8,22,21,180,12,6.5,5.4,4.5,-,-,12.1,5.0999999999999996,6,5,7,4
4.5,F,9,23,21,200,11,6.3,-,-,-,-,-,-,8,5,6.6,3.5
4.5,F,10,24,22,210,11.5,6.5,6,5,4,6,12.5,5.2,6.7,5,7.5,4
4.5,F,11,25,22,320,11,6.5,-,-,-,-,-,-,6.4,5,7.3,4
4.5,F,12,26,22,200,14,8,6,5,5,6,12.5,6,6,5,7,4
4.5,F,13,27,22,200,13.5,8,6,5,4.5,5.5,12.5,6,7,5,8.2,4
4.5,F,14,28,23,220,12,6.9,-,-,-,-,NA,-,7.5,5.9,7,3
4.5,F,15,29,22,230,14,7,6,5,3,4,15.8,5.8,7,6.4,3.7,4.8
5,M,1,30,25,270,14.5,11,6,4.7,5,9.3000000000000007,11,7,7.3,5.9,9.2,5
5,M,2,31,25,350,14.6,12,6.5,5.5,6,10,12,8,8,6,9.2,5.5
5,M,3,32,25,360,15.6,13.5,5.5,5,5.5,9.1999999999999993,12.3,8,7.5,6,9.2,5.7
5,M,4,33,25,380,14.6,15.1,5.8,5,5.4,10,15.1,9,8,6.2,9.5,4.8
5,M,5,34,26,320,15.5,14,6.5,6,5.3,10,14,9.9,7.8,6,9.3,4.5
5,M,6,35,26,400,14.6,16,6.6,5.8,5.3,10,16,9.5,8,6,9.5,4.5
5,F,7,36,25,310,15,14,6,5,4.5,9,14,7,8,6,9,5.5
5,F,8,37,26,300,16.5,16.2,5.5,5.4,4,10.199999999999999,16.2,9,8,5.5,9,5.2
5,F,9,38,26,310,16,17,6,5.5,5.5,10.3,17,8,8.5,6.5,10.2,4.6
5,F,10,39,26,420,13.2,16,6.5,4.5,4.5,9,16,9.5,8,6,10,5.5
5,F,11,40,26,420,16.3,15.1,7,5,5.5,9.8000000000000007,15.1,10.1,9,6.5,10.2,5.6
5,F,12,41,26,380,16.4,14,7,5,5,9.1999999999999993,14,9,7.6,6.2,9.4,5.2
5,F,13,42,25,270,16,13.5,6.9,5,5,9,13.5,9.4,8,6.5,9.5,4.4
5.5,M,1,43,27,470,15.5,7.4,9.1999999999999993,6,7,9.8000000000000007,18.5,10,7.9,5.5,9,5.4
5.5,M,2,44,27,450,18,9.9,6.5,6,6.4,10,16.8,9.6,8.2,7.4,11.2,6.1
5.5,M,3,45,26.5,340,16,10,7.6,6,5,11,16.2,9.5,8.5,6.2,9.5,5.7
5.5,M,4,46,28,510,19,10,9.5,7,5.2,10.3,18,10.3,8.5,6.1,11,6.5
5.5,M,5,47,28,400,19.1,8.2,7.6,6,5.5,11,18,10,8.2,7.7,11.9,6
5.5,M,6,48,28,500,16,8.5,9,6,6.5,11,15,9.1999999999999993,8,5.5,10,5
5.5,F,8,50,27,320,17.5,9.3,7.8,5,5,11.5,16.2,9.5,7.4,6.7,10,5.1
5.5,F,9,51,28,380,16.8,9.5,7,6,6,10.5,18.5,10.5,9,7.8,11.5,6.4
5.5,F,10,52,28,460,17,10,7.9,6.5,7,10.5,18,9.5,8,7.5,11.5,6
5.5,F,11,53,28,420,16.2,8.8,8.1,6,5.5,10.5,18,9.5,8.8,6.6,10,5.7
6,M,1,54,30,570,17.2,10,8,6,6,10,17.2,10,8.2,6.5,10.5,6.5
6,M,2,55,30,560,17.4,9.6,8,6.5,5.5,11.9,17,9.5,8.5,7.5,11,6.5
6,M,3,56,31,600,20,10,8,6.5,7,12,18,10,8.5,8,12,7
6,M,4,57,31,520,17,9.5,8.6999999999999993,6.5,5.5,12,19,10,9.5,7.5,11.5,6.7
6,M,5,58,31,730,20,11.2,10.199999999999999,6.7,7,12.2,20,10,9.5,8.9,13.2,7.3
6,M,6,59,31,600,20,11,10.1,6.5,6,12,19.5,11,8.4,8.3,12.5,6.5
6,F,7,60,30,610,20.5,10.8,8.1999999999999993,6,5.8,11.5,18.5,10,9.1,8.5,12.7,7.2
6,F,8,61,30,560,19.5,10,9.1999999999999993,6.4,5.4,11.2,19.5,10.1,9.6,7.5,12.5,6.5
6,F,9,62,30,600,20.2,10,9.5,6.7,6.1,11.5,19.8,10,8.7,8.9,12.5,7.1
6,F,10,63,31,770,19.9,9.8,9,5.6,6.7,12,18,10.6,8.1,7.5,10,5.5
6,F,11,64,31,590,19,9,9,7,6,11.5,19.5,10,8,8,11.6,6.5
6,F,12,65,31,610,17.5,10.5,9.5,6.9,6.1,11,19.2,11.2,8,8.2,11.4,7
6.5,M,1,66,33,640,19.5,11,10,6.5,6.5,12,20,10,9.3,8.5,13.4,7.5
6.5,M,2,67,32,700,20,10.4,10,7,7,12,20,10,9.2,8.9,13.5,7.5
6.5,M,3,68,32,600,18.3,9.8,11.1,7,8,12,19,12,8.5,8,12.2,6.8
6.5,M,4,69,33,670,20,11,10,6.8,8,12,20,10,9,8,13,7
6.5,F,5,70,32,680,19,10,11,6.5,7.5,12.5,18.5,10,9,8.5,12.5,7
6.5,F,6,71,32,670,20,10,10,6.5,7,12,19,10,9,8.4,13,7
6.5,F,7,72,33,625,20.5,10.4,11,7,7.2,12,20,10,9.3,9.4,14.5,7.2
6.5,F,8,73,32,660,19.1,10.4,11,7,8,12,21,10.1,9,8.5,13,7
6.5,F,9,74,33,710,21.5,10.5,12.5,7,8,12,22.2,11.6,9.6,8,13.2,7.2
6.5,F,10,75,33,630,18.3,11.1,10.5,6.5,7,12,19,11,9.2,8.3,12.5,6.8
6.5,F,11,76,33,730,20,10.5,10,8.5,6.5,13,20,11,9,8,13,7
6.5,F,12,77,33,700,20.5,10.5,11,8.5,7.5,13,21,11,9,8,13,7
7,M,1,78,35,265,21.6,10.4,12,7.5,8,12.5,22.7,11.5,9.1,9.2,14.5,8.1
7,M,2,79,35,780,20,12.7,12.5,8,7.5,13,20,10,10.5,9,13.7,7.7
7,M,3,80,35,780,21,12,11.5,8,8,12,22,11,10,8.9,14,7.5
7,M,4,81,35,770,20.1,10.4,12,6.5,7.5,12.5,20,11,10.1,8.8,13.9,7.7
7,M,5,82,35,900,20,11,13,7,8,13,20,11,9.5,9,14,8
7,M,6,83,35,900,21.5,12,12.5,8,7.2,12,22,10,9.5,8,13,7.7
7,M,7,84,35,910,33.2,12.6,12,7,7.5,12.2,21,12,9.8,9.2,15,8.2
7,F,8,85,35,770,21.5,11,12.5,7,7.8,12,20,10,9,8.5,13,7.5
7,F,9,86,36,800,22,12,12,8,7.5,12,22,10,10,9.5,14.5,8
7,F,10,87,36,1000,22.8,12,13,8,7.9,13.1,22.2,11.5,9,9,13.6,8
7,F,11,88,36,960,22,12,13,7.6,8.3000000000000007,13.2,22,11,9,9.8,14.5,8.5
7,F,12,89,36,950,22,12,13,8,8.5,12,22,12,10,9.5,15,8
7.5,M,1,90,38,1150,22,14,14,9,9,13,24,14,10.5,10.5,15,9
7.5,M,2,91,37,820,21.1,12.8,13,9,9,13,20,12,9.6,9.3,14.7,8
7.5,M,3,92,37,930,21.3,13,13,8,7.5,14,19.100000000000001,10.8,9.6,9.3,14.7,8.9
7.5,M,4,93,37,1110,22,10,14,9,7.8,14.5,21,13,10,8.5,14.9,7
7.5,M,5,94,38,1010,21.5,10,14,7.5,7.6,14,22,13,10.5,9,13,8
7.5,M,6,95,38,1040,22,14,15,8,8,12,24,13,10.5,11.5,14,10
7.5,F,7,96,37,1010,24,13,13,7,7.2,13.2,25,14,10,10,15,8
7.5,F,8,97,37,810,20,11.8,12.2,7.5,7.9,13,21.2,14.7,9.4,8.6,13.7,8.5
7.5,F,9,98,37,920,23,11,13.5,8,8.8000000000000007,14,24,14,10,11,16,8
7.5,F,10,99,38,950,20.5,13.5,13,8,7.7,13.5,20.2,13.1,10.5,9.5,13.8,9
7.5,F,11,100,38,1100,25,13.5,150,9,8.5,14,25,14,11,11,16,9
7.5,F,12,101,38,1100,21.5,14,15,8,8.6,14,24,11,10,11,15,8.5
8,M,1,102,40,1200,24,14,14.5,9,8.5,14,28,13,10.8,11,18.2,10
8,M,2,103,40,1310,24,12,14,8,9,14,29,12,10,10.5,16.2,8.2
8,M,3,104,40,1460,26,14.5,14,8,8.5,13.5,28,13,11.1,12,18,10.5
8,M,4,105,40,1500,25,12.5,14.5,9,8.3000000000000007,14,29,13.5,10.5,11,17.8,8
8,M,5,106,40,1410,23,15,15,9,8.5,15,30,14,11,12,17,9.5
8,F,6,107,40,1310,26.1,12.9,14.2,8,8.9,15,26,14,10,9.2,17,8.8
8,F,7,108,40,1330,23.4,14.6,15.5,8,8.5,15,27.3,14,11,11.3,17.5,8
8,F,8,109,40,1250,24,14,15,9,8.3000000000000007,15.1,26.7,13.7,10,11,15,9
8.5,M,1,110,42,1900,24,14.6,14,8.5,9,14,30.7,16.8,11.7,11.5,20,10
8.5,M,2,111,42,1920,25,15,14.5,8.8000000000000007,9,15,30,16,11,12,18,12
8.5,M,3,112,42,1860,21.6,15.2,15,9,9,15,30,16.3,10.4,11.7,19.3,11.7
8.5,M,4,113,43,2100,27.5,16,15,10,9,15,29,15.8,10.8,12,18,11.5
8.5,M,5,114,42,1920,26.2,15,15,8.8000000000000007,8.6,14.5,30,15,11,12.5,20.2,12.1
8.5,F,6,115,42,1510,25,15,15,9,10,15,28,14.5,10.5,12,20,11
8.5,F,7,116,43,1750,25,14,15.6,10,8.5,15.5,31,15.5,11,12,19,9
9,M,1,117,45,1990,26.5,15,16,10.7,9,15.5,31.5,15.7,12,12,22.5,12
9,M,2,118,45,1990,27,16,16,10.1,9.1999999999999993,16,32,16,12,12.5,20,12
9,M,3,119,45,1990,27,16,16.100000000000001,9.8000000000000007,9.5,15.5,34,16.7,11.5,13,21.4,11.5
9,F,4,120,46,1800,25.5,15.2,16,10.9,9.8000000000000007,16.5,33,16,12,12.4,20.4,11
9,F,5,121,46,1820,26.5,15,15,9.8000000000000007,9.5,16,34,16,11.6,12,20,11.5
9.5,M,1,122,48,2650,29,18.5,17,10.9,10,16,34,18,12.6,13.7,20,11.3
9.5,M,2,123,48,2553,28,14,17,10.9,10,16.7,32,17,12,13,22.5,12
9.5,M,3,124,48,3300,28,17,17,11,11,18,33.5,16,13,13.2,25,14.5
9.5,F,4,125,48,2510,28,14.6,17,11,11,17.2,36.5,18.3,12,12.5,21,11
10,F,7,125,51,3410,28,17.9,20,12,11.2,18.5,38,18,12.5,15.9,27.5,14.3
9.5,F,5,126,48,2460,30.5,15,17,10.5,12,17,36,17,12.5,13.5,24,14
9.5,F,6,127,48,3400,27,15.8,17,11,11.5,17.100000000000001,38,15,12.1,14,25.5,14.9
9.5,F,7,128,48,3450,30.5,17.5,18,12,11,18.5,37,17.8,12.3,13.6,26.6,15
10,M,1,129,50,2700,31,16,18,12,11,16,38,18,13,15,24,12
10,M,2,130,50,2650,30,14.1,19,12,11.5,17,37,17.5,13.6,14.4,29,11.5
10,M,3,131,50,3150,33.5,17,19,12.2,11,18,38,17.2,13.5,14,29,15
10,M,4,132,55,4120,34.5,22,20,13,12,18.2,37,16,13,17.7,27,16
10,F,5,133,51,3100,33,17,19,12,12,18,40,18,13,15,22,16
10,F,6,134,52,3180,30,17.6,19,12,12,18,37.6,16.3,12.2,13.4,22,11
10,F,8,136,52,3000,27.5,18,20,13,12,18.5,37,18.399999999999999,13,15.5,25.5,14.3
10,F,9,137,53,3000,30.4,17,20,13,12,18.3,40,18,13.5,15,25,12.2
10,F,10,138,53,3110,29.3,17.6,20,13,12,19,40.4,17.5,12.7,16,26.5,16.9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.5,F,7,NA,27.3,441.4,17.3,9,8.1,6.1,5.9,10.5,16.8,9.6,8.3,6.4,10.4,5.8
