lunar_month,sex,body_length_cm,body_weight_g,humerus_length_mm,humerus_width_mm,radius_length_mm,ulna_length_mm,femur_length_mm,femur_width_mm,tibia_length_mm,fibula_length_mm,dataset
3,M,9,12,8.5,1.8,5.5,5.5,7,1.8,5.1,5,Fazekas and Kosa
3,F,10,40,9,2,8,9,10,2,7,7,Fazekas and Kosa
3.5,M,12,60,11.6,2.1,9.8,10.9,11.9,2.1,9.5,9.3,Fazekas and Kosa
3.5,F,12,100,11.7,2,9.1,10.2,11.5,2,9.1,8.5,Fazekas and Kosa
3.5,F,13,60,14,2.5,11.5,13.5,13.8,2.5,12,12,Fazekas and Kosa
4,M,17,110,19.5,4,16,17.5,18,4,16,14.5,Fazekas and Kosa
4,M,16,100,18,5,16.5,18,19,4.5,16.5,15.5,Fazekas and Kosa
4,M,17,100,20,5.6,19,20.7,22.5,4.5,18.9,17.8,Fazekas and Kosa
4,M,17,180,20,6,20.5,22,24,6,21,20.5,Fazekas and Kosa
4,M,17,190,20.3,6,18.2,20.7,22.5,6.2,19.5,19.2,Fazekas and Kosa
4,F,17,95,20,4,16,17.5,20,4,16,15,Fazekas and Kosa
4,F,17,100,19.5,4.2,16.3,18.5,20,4,16.5,16.1,Fazekas and Kosa
4,F,17,110,18.3,3.2,15.3,16.2,18.8,3.4,15,14,Fazekas and Kosa
4,F,20,140,20.5,5,18.4,21,21.8,6,19.2,19,Fazekas and Kosa
4.5,M,22,185,26,6,21,23,25.5,6,23,21.5,Fazekas and Kosa
4.5,M,22,180,26,6,21,23,27,6,23,22,Fazekas and Kosa
4.5,M,22,250,25.6,6,22.7,24,25.9,6,22.5,22,Fazekas and Kosa
4.5,M,22,210,27,6.5,22,25,26.5,6,28,27,Fazekas and Kosa
4.5,M,22,210,28.5,7,23,26,28.2,7,24.3,23.6,Fazekas and Kosa
4.5,M,22,250,27,6.5,21,24,27.3,6.8,24,23,Fazekas and Kosa
4.5,M,23,250,23,6,23,26,29,7,25,24,Fazekas and Kosa
4.5,F,21,180,24,5.5,20,21,27,6,21,19.5,Fazekas and Kosa
4.5,F,21,200,24.6,5.8,20,21.7,24,5.9,21.5,21.3,Fazekas and Kosa
4.5,F,22,210,25.6,6,20.2,23,24.2,5.7,21.4,21.4,Fazekas and Kosa
4.5,F,22,220,25,6.6,20,22.5,24.6,5.6,21.2,20.8,Fazekas and Kosa
4.5,F,22,200,26,6,21,24,26,7,23,22,Fazekas and Kosa
4.5,F,22,200,26,6,22,24.5,27,6,24.5,23,Fazekas and Kosa
4.5,F,23,220,26.3,6,22.3,24.3,26,6,22.6,22,Fazekas and Kosa
4.5,F,22,230,28,6.7,23.5,26.6,29,6,25.6,25,Fazekas and Kosa
5,M,25,270,29.7,7,25,27,29,6.2,24,24,Fazekas and Kosa
5,M,25,350,31,9,25,29,32,8,27.5,26.5,Fazekas and Kosa
5,M,25,360,30.5,8.5,25.6,29,32,9.2,28.5,28,Fazekas and Kosa
5,M,25,380,31.4,7.5,25,28.2,32,8.2,29.2,27.5,Fazekas and Kosa
5,M,26,350,33.7,7.5,27.5,30,32.5,7.5,29,28.5,Fazekas and Kosa
5,M,26,400,32,7,26,28.5,32,8,27.5,27,Fazekas and Kosa
5,F,25,310,31,8,26,29,31,8,27,26,Fazekas and Kosa
5,F,26,300,30.5,7.5,25,29,32.8,8,28.5,26.8,Fazekas and Kosa
5,F,26,310,34.5,8.5,29,33,36.2,8.5,32,32,Fazekas and Kosa
5,F,26,420,32.5,8,27,31,33.5,8,29.2,28,Fazekas and Kosa
5,F,26,420,35,8.7,29.2,33.1,36.1,9,32,31.8,Fazekas and Kosa
5,F,26,380,31.8,7.7,26.7,30.2,32,8.2,28.7,28.3,Fazekas and Kosa
5,F,25,270,31,8,25,28.5,33.5,8.5,29,28,Fazekas and Kosa
5.5,M,27,470,32.5,7.6,26.7,29.6,32.6,8.5,28.8,28.5,Fazekas and Kosa
5.5,M,27,450,34.8,8.8,29.1,31.9,36.6,8.9,31.6,31,Fazekas and Kosa
5.5,M,26.5,340,34.5,8.7,29,32.5,35.5,8.7,32,31.5,Fazekas and Kosa
5.5,M,28,510,34.2,7.9,28.8,32,36.5,9.1,33.1,31.2,Fazekas and Kosa
5.5,M,28,400,34.5,8.1,27.8,31.7,35,8.5,33,29.3,Fazekas and Kosa
5.5,M,28,500,32.8,8,27,30,33,8.5,29,29,Fazekas and Kosa
5.5,M,27,420,34,8.4,26.9,30.8,35.6,8.3,31.2,30,Fazekas and Kosa
5.5,F,27,320,34.4,8.4,29.3,32.3,34.7,8.8,31.4,29.9,Fazekas and Kosa
5.5,F,28,380,36,8.5,33,33.6,39.7,10,37.7,33.5,Fazekas and Kosa
5.5,F,28,460,36.9,9,30,33,38,9.5,37.5,36,Fazekas and Kosa
5.5,F,28,420,33,7.7,27.5,29.7,33.8,7.8,30,29,Fazekas and Kosa
6,M,30,570,35,9.5,30.5,31.5,37.5,9,41,39.5,Fazekas and Kosa
6,M,30,560,36,9,30.5,33,37.5,9,32,30,Fazekas and Kosa
6,M,31,600,39,9.5,32,35,44.1,10.5,36,34,Fazekas and Kosa
6,M,31,520,35.5,9.2,30,34,37.2,9.7,33.2,32,Fazekas and Kosa
6,M,31,730,40,9.8,33.2,37.7,42.9,10.8,38.4,36.5,Fazekas and Kosa
6,M,31,600,40.5,10.5,34,37.5,41,10.5,37.2,36,Fazekas and Kosa
6,F,30,610,38.7,9.3,31.9,36.8,44.9,10.2,37.1,36.6,Fazekas and Kosa
6,F,30,560,36,9,30.5,33.5,38.4,9,34,34,Fazekas and Kosa
6,F,30,600,43,9.5,35,39,45,11.1,40.2,37.4,Fazekas and Kosa
6,F,31,770,36,9,33.5,37.5,39.5,10.2,33.6,32,Fazekas and Kosa
6,F,31,590,36,9,29,33,38,9,34,32,Fazekas and Kosa
6,F,31,610,36.1,8.4,29.4,33,38,9,33.5,32,Fazekas and Kosa
6.5,M,33,640,40.3,9.6,33,36.9,40.8,11,37.8,36.4,Fazekas and Kosa
6.5,M,32,700,38.3,9.8,32.1,35.2,40.5,9.2,36.4,35.3,Fazekas and Kosa
6.5,M,32,600,39.5,9.8,32,36.2,42,9.2,38.5,36,Fazekas and Kosa
6.5,M,33,670,38,10,32,36,39,11,37.5,35,Fazekas and Kosa
6.5,F,32,680,37,9.5,33.5,35,41,11.5,35,35,Fazekas and Kosa
6.5,F,32,670,40,10,34,37,43,10.5,37,35,Fazekas and Kosa
6.5,F,33,625,42,9.4,34.8,38.5,45.4,11.4,39.6,39.2,Fazekas and Kosa
6.5,F,32,660,45,10.8,36.3,40.5,46.2,12.1,41.6,40.5,Fazekas and Kosa
6.5,F,33,710,43,10,34.5,40,45.3,11.5,40.5,39,Fazekas and Kosa
6.5,F,33,630,39,9.9,31.7,36.1,41,10,36.9,34.9,Fazekas and Kosa
6.5,F,33,730,40.7,10.5,32.5,38,46,12,39.5,39,Fazekas and Kosa
6.5,F,33,700,41,10,38.5,40,38.5,11,38,36,Fazekas and Kosa
7,M,35,865,44.5,10.8,35.4,39.7,46.5,11.8,40.4,39.2,Fazekas and Kosa
7,M,35,780,43.1,10,35,40.5,46,12,41,39.5,Fazekas and Kosa
7,M,5,780,42,10,33,38,45,11.3,39,37,Fazekas and Kosa
7,M,35,770,40.7,9.7,34.8,38,44.5,10.5,39.5,37.5,Fazekas and Kosa
7,M,35,900,40.5,10.5,35,38.5,44.5,10.5,40,37.7,Fazekas and Kosa
7,M,35,900,46,11,35,40.5,48,12.7,43.5,41,Fazekas and Kosa
7,M,35,910,47,11.1,37.1,43.5,49,12.8,44.2,43.3,Fazekas and Kosa
7,F,35,770,45,11,36.5,40,47,11,42,40,Fazekas and Kosa
7,F,36,800,42,11,34,38,47,12,43,40,Fazekas and Kosa
7,F,36,1000,46,12,37,41,49,11,43.5,42,Fazekas and Kosa
7,F,36,960,45,11.5,37,41.5,48,12,42,40.3,Fazekas and Kosa
7,F,36,950,47,12,37,43,49,13,44,41,Fazekas and Kosa
7.5,M,38,1150,44,11,36,40,48,13,43,41,Fazekas and Kosa
7.5,M,37,820,45,12,38,42,46,12.2,43,42,Fazekas and Kosa
7.5,M,37,930,44.8,11.7,37.3,41,46.5,12.5,43.4,42.1,Fazekas and Kosa
7.5,M,37,1110,42,11.2,35.5,40,45,11.5,41,40,Fazekas and Kosa
7.5,M,38,1010,43.5,11.5,37,42,47.5,12,41.5,39.5,Fazekas and Kosa
7.5,M,38,1040,50,12,40,45,50,11,45,43,Fazekas and Kosa
7.5,F,37,1010,44,11.8,39,43,49,12,44,44,Fazekas and Kosa
7.5,F,37,810,45.6,11.4,40,43.5,47,11.5,43,42.6,Fazekas and Kosa
7.5,F,37,920,47,11.8,38,43,49,12,46,45,Fazekas and Kosa
7.5,F,38,950,50,13.3,40.6,46.6,52.6,13,46.8,46,Fazekas and Kosa
7.5,F,38,1100,47,12.4,38,45.5,54,14,48,47,Fazekas and Kosa
7.5,F,38,1100,46.5,12.5,37.2,42,50,13,42.5,41,Fazekas and Kosa
8,M,40,1200,53,13.2,41.8,49.2,54.3,15.4,49,47,Fazekas and Kosa
8,M,40,1310,50,12,41.2,47,56.3,13.5,50.2,48,Fazekas and Kosa
8,M,40,1460,50,12,41.5,48,57,14,50,49,Fazekas and Kosa
8,M,40,1500,52.5,12.6,43.2,49.1,59,15.6,52,50.2,Fazekas and Kosa
8,M,40,1410,50,12,42,48,56,15,50,48,Fazekas and Kosa
8,F,40,1310,51,12.1,40,46.5,55,13,49,47,Fazekas and Kosa
8,F,40,1330,51,12.8,42,47.5,56.1,15,48.3,47.5,Fazekas and Kosa
8,F,40,1250,47,12.5,37,41.2,52.5,14,43.7,41,Fazekas and Kosa
8.5,M,42,1900,57.1,13.4,44.6,50.5,66,15,57.6,54.2,Fazekas and Kosa
8.5,M,42,1920,55,13,44,50,57,14,52,50,Fazekas and Kosa
8.5,M,42,1860,53.5,13.2,43.8,50.5,60.9,15.2,54,50.4,Fazekas and Kosa
8.5,M,43,2100,53,13,44.5,51,60,16,54,51.5,Fazekas and Kosa
8.5,M,42,1920,52.3,13.5,42.4,47.9,58.2,19,51,48,Fazekas and Kosa
8.5,F,42,1510,51,13.8,41,46.5,58.5,15,51.2,50,Fazekas and Kosa
8.5,F,43,1750,53.2,14,43,50,60,14.5,52.3,50.5,Fazekas and Kosa
9,M,45,1990,54,14,44,50,60,17,50.7,48.5,Fazekas and Kosa
9,M,45,1990,55,14,45,52,61,17,54,51,Fazekas and Kosa
9,M,45,1990,60,15,49.5,55.4,67.5,18,59,56,Fazekas and Kosa
9,F,46,1800,55,14.5,45.5,50,61.4,16.3,55,52.1,Fazekas and Kosa
9,F,46,1820,53.6,14.6,45,49,62.7,15,54.8,50.5,Fazekas and Kosa
9.5,M,48,2650,58,15,45.7,52.7,64,18,56,53.6,Fazekas and Kosa
9.5,M,48,2553,62.5,15.5,49,54.5,66,18.7,58,56,Fazekas and Kosa
9.5,M,48,3300,62.2,15.2,51,57.2,67,18.2,59.5,57.2,Fazekas and Kosa
9.5,F,48,2510,61,17.5,48,56.1,70.5,19.3,61,59,Fazekas and Kosa
9.5,F,48,2460,55,16.5,51,58,73,17,63,60,Fazekas and Kosa
9.5,F,48,3400,60.5,15.2,47.7,56.7,72.3,20.5,61.9,60,Fazekas and Kosa
9.5,F,48,3450,60.5,15.2,49.9,57.3,73.5,19.6,64,60,Fazekas and Kosa
10,M,50,2700,62,15,51,58,69,19,60,58,Fazekas and Kosa
10,M,50,2650,61.6,16.6,47.5,55,72.1,20,62.8,60.4,Fazekas and Kosa
10,M,50,3150,62.6,16,51.6,58.5,71,20.8,61.5,60,Fazekas and Kosa
10,M,55,4120,70,19,58,66.5,79,22,71.5,68.5,Fazekas and Kosa
10,F,51,3100,63,16,50,58,74,18,64,59,Fazekas and Kosa
10,F,52,3180,65,17,51.5,60,75.5,20,66,63.5,Fazekas and Kosa
10,F,51,3410,65.3,17.3,51,60,75.8,18.6,66.1,61.8,Fazekas and Kosa
10,F,52,3000,67.5,16.7,52.8,59.2,78.7,19.4,68,64,Fazekas and Kosa
10,F,53,3000,67,17,51,57.5,75.7,20.2,66,61,Fazekas and Kosa
10,F,53,3100,67.3,18,53.3,60,76.7,21,68.7,64,Fazekas and Kosa
