lunar_month,sex,body_length_cm,body_weight_g,frontal_squama_height_cord_mm,frontal_squama_height_perimeter_mm,frontal_squama_width_cord_mm,frontal_squama_width_perimeter_mm,temporal_squama_height_mm,temporal_squama_width_mm,temporal_squama_length_mm,annulus_tympanicus_diameter_mm,parietal_bone_height_cord_mm,parietal_bone_height_perimeter_mm,parietal_bone_width_cord_mm,parietal_bone_width_perimeter_mm,occipital_squama_height_cord_mm,occipital_squama_height_perimeter_mm,occipital_squama_width_cord_mm,occipital_squama_width_perimeter_mm,dataset
3,M,9,12,6,6,9,9,NA,NA,NA,NA,NA,NA,NA,NA,7,7,11,11,Fazekas and Kosa
3,F,10,40,8,8,14,14,2.8,2.8,7,NA,10,10,14,14,8,8,13,13,Fazekas and Kosa
3.5,M,12,60,8.8,8.8,13,13,3.1,3.1,12.6,NA,12.1,12.1,15.2,15.2,9.5,9.5,13.2,13.2,Fazekas and Kosa
3.5,F,12,100,9.5,9.5,14.5,14.5,2.8,2.8,7.5,NA,10,10,13,13,13.5,13.5,15,15,Fazekas and Kosa
5.5,M,27,420,31.8,33,27,28,11.9,15.5,17.5,10,36.3,NA,39.2,45,26.6,27,30.2,33,Fazekas and Kosa
3.5,F,13,60,12,12,14,14,5,5,8,4,15,15,20,20,9,9,15,15,Fazekas and Kosa
4,M,17,110,22.5,23,16,19,5,9,10,5,18.5,24,25.5,26,13.5,14,14,15,Fazekas and Kosa
4,M,16,100,19,20,15,18,7,10,11,6,16,22,20,22,14,15,14.5,15,Fazekas and Kosa
4,M,17,100,26.4,20,20,17,8,11,11.7,7.3,22,27,28,29,16,16.5,20,21,Fazekas and Kosa
4,M,17,180,20,21.3,15,17,9,11,14,4.5,22,27,22,25,17,17.5,18,19,Fazekas and Kosa
4,M,17,190,22.7,23,21,22,8.5,10,13.7,6.2,30,32,31.7,32,19.5,20,23.4,24,Fazekas and Kosa
4,F,17,95,22.5,23,17,18,6.5,10,11,5,23,27,25,26,14,15,15,16,Fazekas and Kosa
4,F,17,100,21,22,18.5,19,6,10,10.9,6,21,25,24,25,14,15,22,23,Fazekas and Kosa
4,F,17,110,18,19,18,19,5,10,10.2,5.5,21,25,22.5,25,13,14,18.6,20,Fazekas and Kosa
4,F,20,140,22,22.5,20,20.5,6.1,10,11.5,6.1,25,26,29.5,30,15,15,21.6,23,Fazekas and Kosa
4.5,M,22,185,23,25,21,23,8,13,15,7,26,30,29,31,18,19,18,19,Fazekas and Kosa
4.5,M,22,180,24,26,20,22,10,13,16,7,28,31,30,32,17,19,18,19,Fazekas and Kosa
4.5,M,22,250,25.7,27,22,24,8.2,12.5,15,8.4,32.5,37,34.6,35,22.8,18,23,24,Fazekas and Kosa
4.5,M,22,210,23,25,19,25,7.5,11.5,14.5,6.5,30,30,31,31,18,23.5,26.4,27,Fazekas and Kosa
4.5,M,22,210,28,30,23,24,9.5,12,15.3,7.6,31,37,31,35,23,20,20,23,Fazekas and Kosa
4.5,M,22,250,26,29,21,22,9.5,12,15,7.2,29.5,32,30,32,20,24,29,29,Fazekas and Kosa
4.5,M,23,250,24,27,22,23,10,14,19,7.3,30,36,33,35,17,21,25,26,Fazekas and Kosa
4.5,F,21,180,22,24,19,22,9,12,13,7.2,25,28,30,33,17,20.5,23.5,24.6,Fazekas and Kosa
4.5,F,21,200,22,24,20,22,8.1,11.5,14.4,7.2,26,29,29,32,17,18,17.5,19,Fazekas and Kosa
4.5,F,22,210,25,26,22,23,8.9,12.8,13.9,NA,28,30,30.5,32,20.4,18,20,21,Fazekas and Kosa
4.5,F,22,220,24.5,26,21.8,23,9,13,15.2,8.2,28,31,31,33,19,21,24.1,26,Fazekas and Kosa
4.5,F,22,200,23,25.5,22,24,9,12,13,7,27,30,30,32,16,20,26.1,27,Fazekas and Kosa
4.5,F,22,200,24,26,21.5,23,8,13,15.5,8,28,30,30,33,18,17,18,19,Fazekas and Kosa
4.5,F,23,220,25,27,22,24,8,12.5,14.3,NA,28,31,30,30,20,19,22,23,Fazekas and Kosa
4.5,F,22,230,27,29,22.6,23,13,12,16,8.3,28.3,30,31.2,32,18.6,20.5,25,26,Fazekas and Kosa
5,M,25,270,28,29,24,25,9.8,13.5,17,8.8,33,37,35.3,37,22,22.5,26.5,27,Fazekas and Kosa
5,M,25,350,28.4,30,24,26,10.5,14,17.5,7.8,32.7,37,36,38,22,23,25,27,Fazekas and Kosa
5,M,25,360,28.5,30,24.1,26,10.1,14.5,18,7.9,35.1,40,39,37,25,25.5,27.3,30,Fazekas and Kosa
5,M,25,380,27,29,24.3,26,9.8,14,17.8,7.9,33,36,38,37,26.5,27,32.6,33,Fazekas and Kosa
5,M,26,350,28.5,30,23.8,25,10.3,13.8,17.5,8.5,34,37,36,37,24.4,25,26.5,28,Fazekas and Kosa
5,M,26,400,30,32,25,26,10.4,14,17,7.5,34,40,36,37.5,25,26,28,30,Fazekas and Kosa
5,F,25,310,25,27,24,26,10,13.7,17,8,30,36,32,36,22,23,24,27,Fazekas and Kosa
5,F,26,300,27,29,24,26,12,14,18,7.5,35,37,38,38,22,23,24,27,Fazekas and Kosa
5,F,26,310,33,34,25,26.5,12,14.5,17.5,8,38,40,40,40,24,25,31,33,Fazekas and Kosa
5,F,26,420,28,30,24,26,10.1,14.2,16.5,8.2,29,37,33.5,34,21,22.5,22,25,Fazekas and Kosa
5,F,26,420,31.8,32,25,28,11.3,14.5,18,8.1,38,39,40,37,27,28,32,33,Fazekas and Kosa
5,F,26,380,29.4,31,25,28,12.5,14,17.2,7.9,34.2,40,38.5,35,24.9,26,28,31,Fazekas and Kosa
5,F,25,270,29,31,25,27,10,14,17,7.9,33,38,37,37,22,24,30,31,Fazekas and Kosa
5.5,M,27,470,28.4,30,25.7,28,12,15.5,18,8.1,34.9,44,38.5,42,26.7,29,31.5,34,Fazekas and Kosa
5.5,M,27,450,31.7,32,28.8,30,11.6,15,20.5,8.9,36.1,45,40.4,44,30.2,33,32.5,35,Fazekas and Kosa
5.5,M,26.5,340,31,32,24,27,10,15,18,7.7,34.5,42,38.5,41,25,27,28,33,Fazekas and Kosa
5.5,M,28,510,32,35,26,28,12.2,15,20,8.1,36,47,41,46,28.5,32,31,36,Fazekas and Kosa
5.5,M,28,400,29.7,31,26.9,28,12.8,15.5,19.1,8.4,37.4,44.6,39,42,28.4,30,32.5,36,Fazekas and Kosa
5.5,M,28,500,29,30,25,26,11.5,15.5,19,8.2,35,42,39,41,26,27,31,33,Fazekas and Kosa
5.5,F,27,320,32,33,26.8,28,12.5,15,19.3,8.9,36.2,43,39,43,25.7,27,30.1,33,Fazekas and Kosa
5.5,F,28,380,29.7,31,25.5,27,12,16,17,8.5,39,44,41.7,44,28,30,32,34,Fazekas and Kosa
5.5,F,28,460,31,32,27,28,12,16,19,8.5,38,46,39,42,27,28,32,35,Fazekas and Kosa
5.5,F,28,420,29.2,31,24.8,26,11.2,14.5,19.1,7.9,37.2,44,40.5,43,28,29,31.6,34,Fazekas and Kosa
6,M,30,570,32,35,27.5,32,12,16,18,8.9,35,46,39,48,25,29,31,37,Fazekas and Kosa
6,M,30,560,33.5,37,29,33,12,16.5,19.5,8.9,36,47,40,49,24,28,31,37,Fazekas and Kosa
6,M,31,600,33,36,32,35,13,18,22,9,37,48,44,51,28,32,31,38,Fazekas and Kosa
6,M,31,520,31,30,27.5,31,13.5,16,19.5,9,36,47,40,48,31,34,35.5,42,Fazekas and Kosa
6,M,31,730,34.5,40,30.1,34,13.9,18,22,9,42.2,54,45,50,32.2,36,36,42,Fazekas and Kosa
6,M,31,600,34,38,28,32,13,17,21.5,9.8,39,47,43,45,30,33,36,40,Fazekas and Kosa
6,F,30,610,33.5,37,29.6,34,13.5,17,21.6,9.3,39.8,49,44.1,50,30.5,33,31.5,38,Fazekas and Kosa
6,F,30,560,31.5,34,27.5,31,12,17,21,8.5,39,48,43,51,28,31,29,36,Fazekas and Kosa
6,F,30,600,36,40,32.8,35,13.1,16,18.2,9,40.2,50,46.3,50,30.9,33,31.2,37,Fazekas and Kosa
6,F,31,770,31.3,34,27.1,31,13,17,20.4,8.5,39.4,49,42.5,53,27.3,31,33,39,Fazekas and Kosa
6,F,31,590,32,36,29,32,13,17.5,21,9,37,52,45,50,28.5,32,35,42,Fazekas and Kosa
6,F,31,610,31.2,35,28.7,31,13.4,16.4,20.8,9.1,37,52,44,50,29,33,35,40,Fazekas and Kosa
6.5,M,33,640,35.5,38,30.2,33,14.3,18,20.2,10.3,42.5,48,46,49,31.8,35,38.5,43,Fazekas and Kosa
6.5,M,32,700,35,38,32.5,33,16,18.8,22.9,10,38.7,48,46.6,49,33.7,37,37.9,41,Fazekas and Kosa
6.5,M,32,600,31,36,28,31,12.4,17.5,18,8,36,46,44,47,35,38,38,42,Fazekas and Kosa
6.5,M,33,670,38,45,33,36,14,20,22,10,46,55,47,57,33,36,37,40,Fazekas and Kosa
6.5,F,32,680,32,38,29,32,13.5,18,21,9.5,39,49,45,51,31,35,38,41,Fazekas and Kosa
6.5,F,32,670,32,38,30,33,13,19,22,10,45,54,47,53,33,37,38,42,Fazekas and Kosa
6.5,F,33,625,39.1,45,32.6,35,14.7,20,22.6,9,46.5,55,47.5,54,34.5,39,36.5,41,Fazekas and Kosa
6.5,F,32,660,37,43,30.1,33,15.7,18,20,9,40,49,45,51,27,32,30.5,36,Fazekas and Kosa
6.5,F,33,710,36,41,32,36,15.5,20.5,22,9,44,57,46,54,36,40,40,52,Fazekas and Kosa
6.5,F,33,630,35.3,40,30.2,34,14.1,17,18.5,9.8,42.8,50,46,52,36.5,34,32.2,37,Fazekas and Kosa
6.5,F,33,730,36,42,32,35,14,18,21.5,9.2,45,56,47,55,31,34,34,37,Fazekas and Kosa
6.5,F,33,700,33,39,32.5,35,14,18,21.5,9,37,48,45,51,28,32,32,36,Fazekas and Kosa
7,M,35,865,38.2,43,33.1,37,16.7,20,22.3,10.4,46,58,50.4,55,37.2,42,42.6,47,Fazekas and Kosa
7,M,35,780,36,40,32,36,15,19.5,21,10,45,57,50,54,32.5,36,38,43,Fazekas and Kosa
7,M,35,780,36,40,33,36,14.5,19.2,22.5,9,46,56,49,53,37,42,42,48,Fazekas and Kosa
7,M,35,770,35.7,40,32.4,36,16.4,19.8,22.3,10.3,45.6,56,48.5,53,35.5,40,39.2,47,Fazekas and Kosa
7,M,35,900,36.5,40,32,35,16,20.1,22,10,42,55,48.4,55,32,38,38,42,Fazekas and Kosa
7,M,35,900,40,46,33,38,15,19,20.5,9.5,46,57,49.2,55,35,42,38,46,Fazekas and Kosa
7,M,35,910,38,45,32.7,38,16.7,20,22.2,10.5,45.5,60,52,58,37.8,45,40.9,48,Fazekas and Kosa
7,F,35,770,36,43,33,37,16,21,22,9.5,46,58,52,59,33,37,38.5,47,Fazekas and Kosa
7,F,36,800,37,42,33,37,16,21,23,10,44,57,51,57,35,40,37,46,Fazekas and Kosa
7,F,36,10000,40.5,46,33,39,16.9,20,21.7,10,45,61,52.2,57,37,43,40.5,47,Fazekas and Kosa
7,F,36,960,41,46,34.2,39,16.5,20.5,23,10,44.5,60,50,55,37,42,39,43,Fazekas and Kosa
7,F,36,950,37,42,34,39,16,21,23,10,47,61,51,57,35,42,42,47,Fazekas and Kosa
7.5,M,38,1150,42,48,38,42,18,23,25,10.5,51,65,55,62,41,46,45,52,Fazekas and Kosa
7.5,M,37,820,38.2,45,32.5,37,16.7,20,21.5,9.9,44.9,55,55,62,36,42,39,47,Fazekas and Kosa
7.5,M,37,930,38,45,32,37,16.5,20,21,10.8,45,56,56,63,36,42,39.5,47,Fazekas and Kosa
7.5,M,37,1110,39,45,34,38,18,22,25,10.5,45,57,51,56,38.2,43,41.5,46,Fazekas and Kosa
7.5,M,38,1010,41,47,32.5,37,16,21,23,10,47.5,60,56,63,33,42,39.5,46,Fazekas and Kosa
7.5,M,38,1040,45,49,31,37,16,23,26,10.5,54,70,57,65,40,48,45,51,Fazekas and Kosa
7.5,F,37,1010,42,48,38,43,20,23,26.5,11,54,69,55,62,40,43,46,52,Fazekas and Kosa
7.5,F,37,810,36.3,42,34.2,37,16.7,20,20,11,44,65,53.7,58,36,41,42,47,Fazekas and Kosa
7.5,F,37,920,40,46,38,42,20,21,23,11,55,55,62,66,43,46,45,49,Fazekas and Kosa
7.5,F,38,950,42,48,35.5,37,17.5,21.5,24.1,10.4,53,68,60,64,43,46,46,52,Fazekas and Kosa
7.5,F,38,1100,44,49,36.5,38,18,21,25,10,50,65,60,64,45,48,48,53,Fazekas and Kosa
7.5,F,38,1100,42,46,32.5,37,19,22,23,10,43,55,50,55,37,46,40,46,Fazekas and Kosa
8,M,40,1200,42,48,38,43,20,25,28,11.8,53,67,58,65,43,48,50,58,Fazekas and Kosa
8,M,40,1310,42,48,38,42,21.2,24.5,28.5,11,51.2,65,56,63,43.1,48,52,60,Fazekas and Kosa
8,M,40,1460,45,50,37,40,20.5,24,26,10,49,62,57,63,41,47,51,59,Fazekas and Kosa
8,M,40,1500,49,53,38.7,42,22.4,23,25.7,12,61.5,72,61.7,66,43,49,47,55,Fazekas and Kosa
8,M,40,1410,45,48,38,42,20,24,26,10,55,70,56,62,42,48,52,60,Fazekas and Kosa
8,F,40,1310,42.3,50,38.4,41,19,23,26.2,10.3,52,68,58,65,42,48,46.2,53,Fazekas and Kosa
8,F,40,1330,46,51,37.5,41,19,25,27.3,11,54.6,67,62.8,70,43.5,47,45.3,53,Fazekas and Kosa
8,F,40,1250,40,48,37,40,18,24,25,10.8,48,65,57,62,42.5,47,43,54,Fazekas and Kosa
8.5,M,42,1900,50,58,40,46,22,26.5,28,12,56,78,68,76,50,62,56,65,Fazekas and Kosa
8.5,M,42,1920,51,59,45,50,23,26,28,11,57,76,73,75,50,60,56,64,Fazekas and Kosa
8.5,M,42,1860,44.1,48,37.5,43,21,26.6,27.2,10.1,54,70,64.5,73,49.8,57,48.2,59,Fazekas and Kosa
8.5,M,43,2100,43.5,48,39,44,21.5,26,29,11,54,71,61.5,72,49,58,51,60,Fazekas and Kosa
8.5,M,42,1920,51.2,57,42.4,47,24.2,26,30.4,12.1,56,79,65.5,75,50.5,62,50.2,60,Fazekas and Kosa
8.5,F,42,1510,48,56,39,45,22,26,27,11.5,57,72,60,68,48.1,59,46,60,Fazekas and Kosa
8.5,F,43,1750,44,52,38,43,23,26,29,12,56,74,60,70,49.5,58,49,59,Fazekas and Kosa
9,M,45,1990,47,50,36,45,23,26.5,29,11.5,56,80,64,75,46,57,47,60,Fazekas and Kosa
9,M,45,1990,52,61,47,55,23,27,30,12,52,76,70,80,53,64,58,70,Fazekas and Kosa
9,M,45,1990,51.9,60,41.5,48,23,27,29.7,11.5,62,82,68,78,53,62,56.4,64,Fazekas and Kosa
9,F,46,1800,50.9,60,41.2,50,23,27,29.9,12,58,78,67.7,80,50,62,50,62,Fazekas and Kosa
9,F,46,1820,50,58,40.7,48,22.4,27,29.3,12,57,77,65.3,79,50,61,49,61,Fazekas and Kosa
9.5,M,48,2650,50.7,60,39.6,51,26.1,27,29,11,63.6,84,67.9,76,55.4,64,53,68,Fazekas and Kosa
9.5,M,48,2553,53,64,44,50,25,30,35,12,63,84,71,76,50,60,53,66,Fazekas and Kosa
9.5,M,48,3300,53,60,44,52,24,32,34,12.2,64,85,73,82,55,63,62,71,Fazekas and Kosa
9.5,F,48,2510,52.8,60,45,54,22,29,28,11,61.5,82,72.3,76,48.5,65,54.5,64,Fazekas and Kosa
9.5,F,48,2460,51,58,44,50,23,29,30,11.8,64,81,67,76,55,65,59.5,70,Fazekas and Kosa
9.5,F,48,3400,56.1,62,44.5,53,23.2,31,33,13.5,63.3,84,67.1,80,56.5,66,57.1,66,Fazekas and Kosa
9.5,F,48,3450,56,69,45.5,55,24.7,31,30.7,12.5,65,91,75,87,53.6,65,56.8,67,Fazekas and Kosa
10,M,50,2700,55,63,43,55,24,32,32,12.5,65,81,70,80,55,65,56,65,Fazekas and Kosa
10,M,50,2650,53.5,64,46.1,53,22.8,30,31.4,12.3,68,90,78,90,54.6,69,60,76,Fazekas and Kosa
10,M,50,3150,52.5,63,44,51,28.4,31,33.4,12.5,65,85,72,80,55,68,59,70,Fazekas and Kosa
10,M,55,4120,57.4,67,48,56,30.8,38,39.6,12.6,70.5,92,72,80,57.5,74,66.5,76,Fazekas and Kosa
10,F,51,3100,54,66,44,51,24,37,39,12,65,84,78,82,53,66,60,72,Fazekas and Kosa
10,F,52,3180,54.8,62,43.8,52,23.7,33,37.7,12,63,86,64,75,51.5,68,56.7,67,Fazekas and Kosa
10,F,51,3410,55,64,50.2,56,26,30.5,30,13.1,63,86,76.5,84,55.7,66,56.2,65,Fazekas and Kosa
10,F,52,3000,55,65,42,54,22,33,35,13.5,66,87,71,84,56,69,56,71,Fazekas and Kosa
10,F,53,3000,55,64,44.6,55,22.7,29.5,32,12,62.3,37,69,80,54,70,56.4,68,Fazekas and Kosa
10,F,53,3110,56,67,46,59,27,32,31.4,12,66,90,72,84,59,72,62,72,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
6.5,NA,32.5,652.5,34.9,39.2,30.9,33.2,14.2,18.6,20.8,9.6,40.8,49.2,45.9,50.5,33.4,36.5,37.8,41.5,Fazekas and Kosa
